date,loadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HourlyMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,MinHourlyMeanWindspeed,Month,Year,Week,day_of_week,Population,TotalBiomass (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP
2017-03-31,307373.0,1.4,1.4,14.5,89,21.8,3.5,6.0,1.0,3,2017,13,0,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,184689.1
2017-04-01,276514.0,-0.1,-0.1,10.8,60,14.1,2.0,4.0,1.0,4,2017,13,2,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-01,276514.0,-0.1,-0.1,10.8,60,14.1,2.0,4.0,1.0,4,2017,13,2,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-02,255632.0,0.0,0.0,10.3,44,16.9,2.3,4.0,1.0,4,2017,13,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-02,255632.0,0.0,0.0,10.3,44,16.9,2.3,4.0,1.0,4,2017,13,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-03,306667.0,0.0,0.0,8.1,27,14.3,1.5,2.0,1.0,4,2017,14,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-03,306667.0,0.0,0.0,8.1,27,14.3,1.5,2.0,1.0,4,2017,14,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-04,305239.0,0.0,0.0,9.8,22,16.5,1.8,4.0,1.0,4,2017,14,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-04,305239.0,0.0,0.0,9.8,22,16.5,1.8,4.0,1.0,4,2017,14,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-05,311079.0,0.0,0.0,9.2,62,12.8,3.5,5.0,2.0,4,2017,14,6,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-05,311079.0,0.0,0.0,9.2,62,12.8,3.5,5.0,2.0,4,2017,14,6,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-06,315465.0,-0.1,-0.1,8.1,38,11.8,3.0,4.0,1.0,4,2017,14,4,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-06,315465.0,-0.1,-0.1,8.1,38,11.8,3.0,4.0,1.0,4,2017,14,4,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-07,311332.0,0.0,0.0,10.5,73,13.8,2.6,3.0,2.0,4,2017,14,0,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-07,311332.0,0.0,0.0,10.5,73,13.8,2.6,3.0,2.0,4,2017,14,0,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-08,273153.0,0.0,0.0,9.6,29,15.5,1.3,2.0,0.0,4,2017,14,2,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-08,273153.0,0.0,0.0,9.6,29,15.5,1.3,2.0,0.0,4,2017,14,2,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-09,253374.0,0.0,0.0,11.7,8,21.0,2.2,4.0,1.0,4,2017,14,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-09,253374.0,0.0,0.0,11.7,8,21.0,2.2,4.0,1.0,4,2017,14,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-10,308748.0,0.0,0.0,9.8,41,15.5,3.4,5.0,1.0,4,2017,15,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-10,308748.0,0.0,0.0,9.8,41,15.5,3.4,5.0,1.0,4,2017,15,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-11,309491.0,0.0,0.0,9.6,23,13.8,3.3,5.0,1.0,4,2017,15,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-11,309491.0,0.0,0.0,9.6,23,13.8,3.3,5.0,1.0,4,2017,15,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-12,319019.0,0.8,0.3,9.8,83,11.9,4.2,6.0,2.0,4,2017,15,6,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-12,319019.0,0.8,0.3,9.8,83,11.9,4.2,6.0,2.0,4,2017,15,6,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-13,312406.0,-0.1,-0.1,9.3,60,13.3,3.3,5.0,2.0,4,2017,15,4,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-13,312406.0,-0.1,-0.1,9.3,60,13.3,3.3,5.0,2.0,4,2017,15,4,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-14,309335.0,-0.1,-0.1,9.9,65,13.0,3.2,5.0,2.0,4,2017,15,0,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-14,309335.0,-0.1,-0.1,9.9,65,13.0,3.2,5.0,2.0,4,2017,15,0,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-15,276035.0,3.4,0.9,9.6,65,12.1,4.5,6.0,2.0,4,2017,15,2,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-15,276035.0,3.4,0.9,9.6,65,12.1,4.5,6.0,2.0,4,2017,15,2,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-16,256595.0,2.9,1.7,7.9,50,10.8,2.9,5.0,1.0,4,2017,15,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-16,256595.0,2.9,1.7,7.9,50,10.8,2.9,5.0,1.0,4,2017,15,3,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-17,264480.0,8.6,3.7,6.5,27,10.9,3.5,6.0,1.0,4,2017,16,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
2017-04-17,264480.0,8.6,3.7,6.5,27,10.9,3.5,6.0,1.0,4,2017,16,1,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1046,0.1032857142857143,0.878,0.4598,186822.7
2017-04-18,311041.0,-0.1,-0.1,6.1,8,11.1,3.2,6.0,1.0,4,2017,16,5,1708.0,22786015.619999997,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,0.1085999999999999,0.1088571428571428,0.8390000000000001,0.4744,186822.7
