PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold
DeliveryPrice,2010 2e halfjaar,0.694,0.598,0.563,0.546,0.53,0.342,0.288,0.246,-0.389,0.022,0.12,0.17,0.124,0.16,0.104,0.093,0.088,0.071,0.074,0.067,0.047000000000000014,0.6569999999999998,1.8549999999999998,1.9520000000000002
DeliveryPrice,2010,0.681,0.592,0.561,0.563,0.517,0.361,0.287,0.232,-0.392,0.021,0.12,0.17,0.152,0.166,0.124,0.096,0.088,0.074,0.075,0.066,0.07100000000000001,0.6889999999999998,1.834,1.96
DeliveryPrice,2011 1e halfjaar,0.687,0.596,0.593,0.568,0.53,0.401,0.311,0.278,-0.397,0.018,0.117,0.167,0.173,0.146,0.135,0.094,0.085,0.074,0.073,0.066,0.07799999999999999,0.673,1.876,2.088
DeliveryPrice,2011 2e halfjaar,0.795,0.659,0.639,0.608,0.565,0.358,0.301,0.288,-0.397,0.018,0.117,0.168,0.125,0.144,0.097,0.089,0.085,0.069,0.075,0.068,0.031,0.627,2.093,2.12
DeliveryPrice,2011,0.732,0.622,0.613,0.585,0.546,0.383,0.306,0.283,-0.397,0.018,0.117,0.167,0.148,0.145,0.116,0.092,0.085,0.072,0.074,0.067,0.05299999999999999,0.651,1.967,2.103
DeliveryPrice,2012 1e halfjaar,0.733,0.645,0.631,0.628,0.563,0.422,0.333,0.306,-0.406,0.019,0.119,0.17,0.178,0.149,0.136,0.09,0.081,0.071,0.068,0.06,0.07999999999999999,0.655,2.0090000000000003,2.252
DeliveryPrice,2012 2e halfjaar,0.834,0.707,0.669,0.662,0.571,0.389,0.339,0.315,-0.442,0.01,0.116,0.169,0.127,0.146,0.095,0.089,0.083,0.07,0.068,0.066,-0.01999999999999999,0.617,2.21,2.2760000000000002
DeliveryPrice,2012,0.774,0.669,0.646,0.639,0.566,0.407,0.336,0.311,-0.423,0.014,0.118,0.17,0.153,0.148,0.116,0.089,0.082,0.071,0.068,0.063,0.03200000000000003,0.637,2.089,2.2590000000000003
DeliveryPrice,2013 1e halfjaar,0.782,0.697,0.711,0.668,0.618,0.479,0.363,0.333,-0.424,0.015,0.119,0.172,0.178,0.154,0.145,0.089,0.084,0.074,0.07,0.068,0.06,0.6840000000000002,2.19,2.4610000000000003
DeliveryPrice,2013 2e halfjaar,0.862,0.7,0.689,0.667,0.636,0.397,0.345,0.329,-0.447,0.009,0.117,0.171,0.125,0.161,0.102,0.087,0.082,0.07,0.07,0.066,-0.024999999999999994,0.6380000000000001,2.251,2.374
DeliveryPrice,2013,0.81,0.698,0.703,0.668,0.627,0.446,0.357,0.332,-0.435,0.012,0.118,0.171,0.153,0.158,0.123,0.088,0.083,0.071,0.07,0.067,0.019000000000000017,0.6599999999999999,2.211,2.4299999999999997
DeliveryPrice,2014 1e halfjaar,0.824,0.686,0.668,0.666,0.636,0.472,0.349,0.307,-0.464,0.004,0.115,0.17,0.184,0.164,0.139,0.088,0.08,0.069,0.064,0.057,0.00899999999999998,0.6610000000000001,2.178,2.43
DeliveryPrice,2014 2e halfjaar,0.87,0.69,0.664,0.662,0.64,0.383,0.306,0.264,-0.478,-0.003,0.11,0.167,0.121,0.156,0.094,0.081,0.076,0.061,0.06,0.057,-0.08299999999999999,0.5850000000000001,2.224,2.255
DeliveryPrice,2014,0.844,0.688,0.666,0.664,0.638,0.433,0.328,0.286,-0.471,0.0,0.112,0.169,0.153,0.16,0.116,0.084,0.078,0.065,0.062,0.057,-0.03699999999999998,0.6220000000000002,2.198,2.349
DeliveryPrice,2015 1e halfjaar,0.783,0.666,0.647,0.652,0.609,0.448,0.348,0.286,-0.321,0.039,0.132,0.178,0.183,0.158,0.137,0.086,0.078,0.067,0.062,0.059,0.21099999999999997,0.647,2.096,2.343
DeliveryPrice,2015 2e halfjaar,0.869,0.658,0.62,0.637,0.627,0.366,0.298,0.252,-0.389,0.019,0.118,0.169,0.119,0.153,0.092,0.079,0.076,0.058,0.058,0.056,0.036000000000000004,0.5720000000000001,2.1470000000000002,2.1799999999999997
DeliveryPrice,2015,0.816,0.663,0.631,0.646,0.616,0.418,0.326,0.27,-0.354,0.029,0.126,0.174,0.138,0.155,0.115,0.082,0.077,0.062,0.06,0.057,0.11300000000000004,0.6080000000000001,2.1100000000000003,2.276
DeliveryPrice,2016 1e halfjaar,0.822,0.694,0.667,0.684,0.644,0.44,0.29,0.201,-0.402,-0.003,0.095,0.145,0.162,0.123,0.135,0.082,0.072,0.06,0.056,0.05,-0.003000000000000058,0.5780000000000001,2.183,2.259
DeliveryPrice,2016 2e halfjaar,0.857,0.672,0.642,0.671,0.625,0.325,0.27,0.205,-0.394,-0.004,0.093,0.143,0.121,0.115,0.091,0.075,0.072,0.052,0.053,0.051,-0.041000000000000064,0.509,2.171,2.096
