HourlyMaxTemperature,AveragePrice_Electricity_Household,HourlyMaxTemperature,day_of_week,AveragePrice_NaturalGas_Household,GDP,TotalSolarEnergy (MWh),DailyPrecipitation,Population,Year,TotalRes(incl.Stat.Transfer) (MWh),is_weekend,is_holiday,rolling_7,rolling_30,loadConsumption
18.9,0.1604,18.9,3,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,296717.71428571426,290238.5,253442.0
17.2,0.1604,17.2,1,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,296484.71428571426,291034.86666666664,302180.0
15.0,0.1604,15.0,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295236.85714285716,292796.7,307798.0
20.8,0.1604,20.8,6,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,294938.0,292768.26666666666,307366.0
24.0,0.1604,24.0,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295017.4285714286,292842.5,310346.0
27.4,0.1604,27.4,0,0.8186666666666667,174143.8,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,0,294756.14285714284,293131.43333333335,312963.0
21.3,0.1604,21.3,2,0.8186666666666667,174143.8,1424178.0599999998,0.4,1690.0,2015,32553593.76,1,0,296089.71428571426,293637.43333333335,278533.0
19.5,0.1604,19.5,3,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,297389.28571428574,292989.56666666665,262539.0
17.5,0.1604,17.5,1,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,297296.5714285714,293887.76666666666,301531.0
17.7,0.1604,17.7,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,297000.5714285714,295532.76666666666,305726.0
22.7,0.1604,22.7,6,0.8186666666666667,174143.8,1424178.0599999998,2.6,1690.0,2015,32553593.76,0,0,297220.28571428574,295480.3,308904.0
